timestamp,co2_ppm,temperature_c,humidity_percent,zone
2026-04-27 00:00:00,401.69,32.51,47.85,Dubai_Industrial_Zone_1
2026-04-27 00:30:00,418.37,33.39,28.13,Dubai_Industrial_Zone_1
2026-04-27 01:00:00,416.2,32.34,46.68,Dubai_Industrial_Zone_1
2026-04-27 01:30:00,416.55,36.75,36.02,Dubai_Industrial_Zone_1
2026-04-27 02:00:00,431.29,36.45,40.48,Dubai_Industrial_Zone_1
2026-04-27 02:30:00,429.15,35.04,33.42,Dubai_Industrial_Zone_1
2026-04-27 03:00:00,421.38,37.16,41.52,Dubai_Industrial_Zone_1
2026-04-27 03:30:00,438.7,37.3,49.04,Dubai_Industrial_Zone_1
2026-04-27 04:00:00,435.93,36.4,28.06,Dubai_Industrial_Zone_1
2026-04-27 04:30:00,430.22,40.39,50.4,Dubai_Industrial_Zone_1
2026-04-27 05:00:00,436.59,38.92,23.92,Dubai_Industrial_Zone_1
2026-04-27 05:30:00,435.63,40.6,30.35,Dubai_Industrial_Zone_1
2026-04-27 06:00:00,437.0,37.56,55.01,Dubai_Industrial_Zone_1
2026-04-27 06:30:00,447.41,38.93,26.49,Dubai_Industrial_Zone_1
2026-04-27 07:00:00,437.71,39.75,35.86,Dubai_Industrial_Zone_1
2026-04-27 07:30:00,434.7,38.01,52.29,Dubai_Industrial_Zone_1
2026-04-27 08:00:00,443.59,37.55,53.33,Dubai_Industrial_Zone_1
2026-04-27 08:30:00,428.65,36.93,32.48,Dubai_Industrial_Zone_1
2026-04-27 09:00:00,433.97,38.93,31.22,Dubai_Industrial_Zone_1
2026-04-27 09:30:00,424.91,35.13,56.06,Dubai_Industrial_Zone_1
2026-04-27 10:00:00,419.75,34.67,37.04,Dubai_Industrial_Zone_1
2026-04-27 10:30:00,428.0,35.12,26.8,Dubai_Industrial_Zone_1
2026-04-27 11:00:00,420.62,36.56,55.16,Dubai_Industrial_Zone_1
2026-04-27 11:30:00,411.58,32.46,22.24,Dubai_Industrial_Zone_1
2026-04-27 12:00:00,412.7,30.19,47.13,Dubai_Industrial_Zone_1
2026-04-27 12:30:00,400.81,25.03,56.5,Dubai_Industrial_Zone_1
2026-04-27 13:00:00,408.78,30.62,27.34,Dubai_Industrial_Zone_1
2026-04-27 13:30:00,398.59,29.74,34.04,Dubai_Industrial_Zone_1
2026-04-27 14:00:00,397.2,28.85,40.57,Dubai_Industrial_Zone_1
2026-04-27 14:30:00,395.32,23.86,38.9,Dubai_Industrial_Zone_1
2026-04-27 15:00:00,385.89,26.57,60.0,Dubai_Industrial_Zone_1
